project_id,year_started,project_type,client_type,procurement_method,contractor_tier,contract_value_LKR_M,gross_floor_area_m2,num_storeys,has_basement,num_subcontractors,soil_condition,complexity_level,duration (days)
PRJ-022,2022,Residential,Government,Traditional,Tier 1 (Large),32,200,2,0,2,Moderate,Medium,355
PRJ-023,2022,Residential,Semi-Government,Traditional,Tier 2 (Medium),103.3,327,2,0,7,Good,Medium,405
PRJ-024,2019,Commercial,Semi-Government,Design & Build,Tier 1 (Large),653.6,2126,26,0,27,Good,Low,620
PRJ-025,2023,Commercial,Private,Design & Build,Tier 2 (Medium),81.6,332,6,0,5,Good,High,425
PRJ-026,2021,Mixed-Use,Private,Design & Build,Tier 1 (Large),313.2,967,7,0,10,Good,Medium,485
PRJ-027,2022,Residential,Government,Design & Build,Tier 2 (Medium),805,2478,8,0,14,Poor,Medium,560
PRJ-028,2021,Commercial,Government,Traditional,Tier 2 (Medium),36.8,200,1,0,2,Good,Medium,415
PRJ-029,2023,Commercial,Government,Traditional,Tier 3 (Small),776.5,2309,15,1,26,Poor,Medium,845
PRJ-030,2022,Residential,Government,Traditional,Tier 1 (Large),278.5,525,5,1,11,Moderate,Low,495
PRJ-031,2022,Industrial,Semi-Government,Management Contracting,Tier 2 (Medium),125.5,207,5,0,5,Moderate,Medium,515
PRJ-032,2022,Residential,Private,Design & Build,Tier 1 (Large),666.4,2522,15,1,21,Moderate,High,785
PRJ-033,2019,Residential,Private,Traditional,Tier 3 (Small),603.1,1922,14,0,14,Moderate,Low,630
PRJ-034,2019,Institutional,Private,Traditional,Tier 3 (Small),835.4,1690,9,0,23,Good,Low,635
PRJ-035,2022,Institutional,Government,Traditional,Tier 1 (Large),702.3,1363,29,0,14,Good,Low,825
PRJ-036,2021,Mixed-Use,Private,Traditional,Tier 2 (Medium),766.3,2842,29,1,25,Moderate,Low,805
PRJ-037,2022,Residential,Private,Design & Build,Tier 3 (Small),278.7,584,6,0,11,Good,High,525
PRJ-038,2019,Residential,Private,Design & Build,Tier 2 (Medium),180.9,877,4,1,8,Good,Medium,365
PRJ-039,2021,Industrial,Private,Management Contracting,Tier 2 (Medium),716.8,2733,25,1,15,Moderate,Medium,770
PRJ-040,2020,Commercial,Government,Traditional,Tier 1 (Large),769.4,1508,19,1,19,Good,Low,725
PRJ-041,2021,Residential,Private,Traditional,Tier 1 (Large),941.1,1838,8,1,18,Poor,Medium,685
PRJ-042,2022,Commercial,Private,Design & Build,Tier 3 (Small),400.8,1828,9,0,9,Poor,Medium,625
PRJ-043,2021,Residential,Government,Design & Build,Tier 3 (Small),362.8,914,15,1,10,Poor,Low,655
PRJ-044,2021,Institutional,Private,Design & Build,Tier 2 (Medium),740.9,2222,12,1,28,Good,Medium,715
PRJ-045,2021,Residential,Private,Design & Build,Tier 2 (Medium),333.7,1427,14,1,16,Good,Medium,505
PRJ-046,2021,Industrial,Private,Traditional,Tier 2 (Medium),885.3,3820,24,0,20,Poor,Medium,810
PRJ-047,2022,Residential,Government,Design & Build,Tier 2 (Medium),817.6,3511,23,0,20,Good,Medium,690
PRJ-048,2018,Commercial,Private,Traditional,Tier 3 (Small),416.1,1704,10,0,13,Poor,Low,710
PRJ-049,2021,Commercial,Government,Traditional,Tier 3 (Small),717.1,2010,22,1,29,Poor,Medium,975
PRJ-050,2021,Residential,Private,Traditional,Tier 3 (Small),720.5,1558,12,1,21,Poor,Medium,645
